Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.6201278615685295,1.6933492952947649,1.6032953000945984,1.6916660070419312,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127075844192632,1.7160740022764003,1.6706263177776464,1.6832506656646729,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832504163818824,1.6874584782119295,1.6580017243470617,1.674834132194519,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.666417919400072,1.666417919400072,1.5780473329649454,1.6075042486190796,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.6159207756799667,1.6622101068496704,1.6032962666997748,1.6622101068496704,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563184915100027,1.670626126954994,1.6411692115650385,1.6580017805099487,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.6706259454888581,1.6706259454888581,1.6159203431510243,1.6285446882247925,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243365036922721,1.6537934165628076,1.6058208078583192,1.6411690711975098,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.632752787444891,1.6580016387027476,1.606662452286307,1.6411690711975098,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.628544544543802,1.6293861888780987,1.5990876349523884,1.6117119789123535,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159205331670146,1.6369611642732138,1.6075042486190796,1.6075042486190796,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032957847876526,1.6453770406668797,1.5974044346489211,1.6302279233932495,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.636961149592448,1.6672595489551023,1.6344362160925292,1.6580017805099487,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.6495855479080128,1.6537936100129238,1.6125539913811335,1.6201286315917969,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286760257976,1.6352776829659528,1.6159203431510243,1.6285446882247925,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.6285446237002636,1.7337477626921767,1.6285446237002636,1.718598484992981,2700800,0.0,0.0
2002-03-08 00:00:00-05:00,1.7084995257775588,1.7674133689536022,1.7084995257775588,1.7589970827102661,1600800,0.0,0.0
2002-03-11 00:00:00-05:00,1.750580550910369,1.8010781007597094,1.7463724886426264,1.781720757484436,5462400,0.0,0.0
2002-03-12 00:00:00-05:00,1.7674126866210116,1.8431589125136056,1.7674126866210116,1.784245252609253,5819200,0.0,0.0
2002-03-13 00:00:00-05:00,1.784245414753809,1.8094941055034175,1.737955934343179,1.7690961360931396,5063200,0.0,0.0
2002-03-14 00:00:00-05:00,1.7690961898330595,1.7842454689539191,1.7539469107121997,1.7674129009246826,1696800,0.0,0.0
2002-03-15 00:00:00-05:00,1.7674131319873045,1.7758294171022253,1.6748343167777504,1.71270751953125,1708000,0.0,0.0
2002-03-18 00:00:00-05:00,1.71691490201987,1.71691490201987,1.6032954992737793,1.6243361234664917,2207200,0.0,0.0
2002-03-19 00:00:00-05:00,1.6369607056272222,1.641168766458531,1.5654225478043529,1.5738388299942017,3229600,0.0,0.0
2002-03-20 00:00:00-05:00,1.5612148725803787,1.5612148725803787,1.430763014849164,1.5166088342666626,9236000,0.0,0.0
2002-03-21 00:00:00-05:00,1.5166083297710429,1.6201281690597533,1.5166083297710429,1.5780469179153442,4427200,0.0,0.0
2002-03-22 00:00:00-05:00,1.578046814453414,1.648743324583105,1.557847834491677,1.6243361234664917,2494400,0.0,0.0
2002-03-25 00:00:00-05:00,1.6411688455530193,1.6672591771244405,1.614236869669328,1.6596845388412476,7571200,0.0,0.0
2002-03-26 00:00:00-05:00,1.6832501230994055,1.6916664058203505,1.6647344295351187,1.681566834449768,1816800,0.0,0.0
2002-03-27 00:00:00-05:00,1.681567472516857,1.7674132998954755,1.6748344758907283,1.7337483167648315,1369600,0.0,0.0
2002-03-28 00:00:00-05:00,1.7253315888883916,1.733747872646958,1.6916666143813874,1.7000828981399536,1714400,0.0,0.0
2002-04-01 00:00:00-05:00,1.6874579393872435,1.6874579393872435,1.5990873849558345,1.6032954454421997,1880000,0.0,0.0
2002-04-02 00:00:00-05:00,1.5990879222771779,1.5990879222771779,1.5443823149363076,1.5687893629074097,2098400,0.0,0.0
2002-04-03 00:00:00-05:00,1.5696308347988412,1.5822551796390014,1.551956784128068,1.565422773361206,567200,0.0,0.0
